DIA,LINEA,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
1/1/2023,LÍNEA 1,192,811,896,716,673,922,"1,023","1,208","1,412","1,485","1,620","1,629","1,985","2,361","2,694","2,303","1,839","1,478",236,,"25,483"
1/1/2023,LÍNEA 2,11,123,116,95,102,144,147,189,281,216,209,191,255,280,317,252,164,111,7,,"3,210"
1/1/2023,LÍNEA A,"1,328.00","5,104.00","5,701.00","4,309.00","4,054","4,852","5,880","7,629","8,701","9,972","10,494","10,999","13,027","15,965","19,123","15,663","12,918","9,509",819,,"166,047"
1/1/2023,LÍNEA B,221,701,750,655,628,863,"1,085","1,228","1,544","1,627","1,742","1,930","2,247","2,498","2,648","2,029","1,472","1,087",151,,"25,106"
1/1/2023,LÍNEA H,,,,,,56,62,49,73,103,94,55,128,99,109,68,46,27,1,,970
1/1/2023,LÍNEA J,,,,,,470,410,490,476,490,574,688,710,857,933,651,311,146,3,,"7,209"
1/1/2023,LÍNEA K,,,,,350,555,630,745,805,"1,009","1,064","1,432","1,515","1,788","1,562","1,110",766,329,4,,"13,664"
1/1/2023,LÍNEA L,,,,,11,61,158,364,539,643,761,617,531,428,,,,,,,"4,113"
1/1/2023,LÍNEA M,,,,,1,156,123,176,190,217,271,229,332,319,411,408,260,240,92,,"3,425"
1/1/2023,LÍNEA O,10,122,172,99,107,138,95,150,162,138,160,216,234,272,326,222,198,109,14,,"2,944"
1/1/2023,LÍNEA P,,,,,25,303,347,334,382,464,461,588,745,996,"1,039",742,413,199,12,,"7,050"
1/1/2023,LÍNEA T-A,87,426,430,400,399,503,672,736,932,"1,063","1,122","1,117","1,492","1,554","1,855","1,570","1,135",932,206,,"16,631"
2/1/2023,LÍNEA 1,"1,614","3,886","5,511","5,144","3,565","3,410","3,163","3,227","3,298","3,239","3,978","4,343","5,171","6,387","4,978","3,489","2,790","2,035","1,103",,"70,331"
2/1/2023,LÍNEA 2,77,391,569,613,586,638,688,759,751,757,896,"1,048","1,367","1,583","1,196",725,555,317,117,,"13,633"
2/1/2023,LÍNEA A,"9,214.00","21,181.00","29,783.00","25,764.00","17,537","17,084","17,203","18,134","20,015","20,256","25,635","27,356","37,072","47,979","35,182","22,506","17,921","14,455","8,024",,"432,301"
2/1/2023,LÍNEA B,"1,596.00","3,248.00","4,507.00","4,170.00","2,977","2,996","2,989","3,024","3,205","3,416","3,901","4,141","5,172","6,373","5,162","3,209","1,926","1,545",844,,"64,401"
2/1/2023,LÍNEA H,115,195,187,166,113,132,92,75,130,105,74,66,78,59,59,42,24,10,5,,"1,727"
2/1/2023,LÍNEA J,678,"1,171","1,323","1,151",807,649,646,708,680,652,641,565,709,616,484,268,233,123,29,,"12,133"
2/1/2023,LÍNEA K,"1,360","1,625","1,688","1,422","1,126","1,102","1,033","1,122","1,259","1,132","1,317","1,114","1,370","1,427","1,185",799,617,262,108,,"21,068"
2/1/2023,LÍNEA L,,,,,,178,304,517,590,520,461,452,636,440,,,,,,,"4,098"
